,t,true_probs,probs_x_np,cmc_2048,strat_2048,cmc_4096,strat_4096,cmc_10000,strat_10000,run_id
5,0.5,0.5475977063179016,0.54345703125,0.5146484375,0.5466,0.5205078125,0.5452,0.5272,0.5446,2
6,0.6000000000000001,0.5176073908805847,0.5068359375,0.494140625,0.5264,0.508544921875,0.52525,0.4989,0.52525,2
7,0.7000000000000001,0.48927319049835205,0.48046875,0.4765625,0.4995,0.478759765625,0.49695,0.4696,0.49435,2
8,0.8,0.4624413549900055,0.455078125,0.45751953125,0.4686,0.460693359375,0.4765,0.4425,0.46755,2
9,0.9,0.4369390606880188,0.4287109375,0.41357421875,0.4402,0.425537109375,0.4411,0.4107,0.4472,2
10,1.0,0.4125857651233673,0.40576171875,0.38671875,0.4159,0.39013671875,0.4202,0.3951,0.41645,2
11,1.1,0.3702026307582855,0.36474609375,0.34716796875,0.3823,0.344482421875,0.38125,0.3664,0.37795,2
12,1.2000000000000002,0.3306204676628113,0.33349609375,0.32421875,0.3432,0.32177734375,0.33825,0.3211,0.34535,2
13,1.3,0.2936851680278778,0.2958984375,0.28515625,0.30005,0.28369140625,0.30795,0.2916,0.30625,2
14,1.4000000000000001,0.2592608332633972,0.25390625,0.2353515625,0.26415,0.24365234375,0.26145,0.2393,0.26945,2
15,1.5,0.22723159193992615,0.21826171875,0.205078125,0.23425,0.213623046875,0.22935,0.2053,0.22725,2
16,1.6,0.19750148057937622,0.1923828125,0.16748046875,0.201,0.177978515625,0.19985,0.1835,0.19745,2
17,1.7000000000000002,0.16999302804470062,0.1640625,0.150390625,0.1657,0.144775390625,0.16945,0.1521,0.1684,2
18,1.8,0.14464549720287323,0.1396484375,0.115234375,0.14315,0.120849609375,0.139,0.1284,0.13955,2
19,1.9000000000000001,0.12141232937574387,0.1171875,0.1103515625,0.1167,0.10400390625,0.1151,0.1006,0.11535,2
20,2.0,0.10025878250598907,0.09912109375,0.08544921875,0.09475,0.084716796875,0.0955,0.0842,0.0965,2
21,2.1,0.08115958422422409,0.08251953125,0.06201171875,0.07885,0.07763671875,0.0801,0.0674,0.07745,2
22,2.2,0.06409665197134018,0.06787109375,0.046875,0.06435,0.052734375,0.0625,0.0517,0.06605,2
23,2.3000000000000003,0.04905750975012779,0.05224609375,0.0302734375,0.04915,0.04248046875,0.05005,0.0409,0.05025,2
24,2.4000000000000004,0.03603358939290047,0.0390625,0.02783203125,0.0409,0.035888671875,0.0421,0.0327,0.0416,2
25,2.5,0.02501928061246872,0.02587890625,0.02197265625,0.0298,0.02490234375,0.02985,0.0245,0.0324,2
26,2.6,0.016010869294404984,0.01416015625,0.013671875,0.0237,0.0205078125,0.023,0.0184,0.02305,2
27,2.7,0.009006007574498653,0.0078125,0.013671875,0.01735,0.008056640625,0.01715,0.011,0.0168,2
28,2.8000000000000003,0.004003265872597694,0.00390625,0.0126953125,0.0121,0.008544921875,0.01085,0.0099,0.0147,2
29,2.9000000000000004,0.0010017387103289366,0.0009765625,0.00732421875,0.008,0.00390625,0.01015,0.0059,0.0085,2
30,3.0,9.111500958169927e-07,0.0,0.00244140625,0.00605,0.004150390625,0.0069,0.0039,0.00635,2
0,0.0,0.625,0.619140625,0.625,0.63265,0.62158203125,0.63065,0.6215,0.63515,3
1,0.1,0.6058791875839233,0.59765625,0.6123046875,0.60905,0.6083984375,0.60925,0.6009,0.6138,3
2,0.2,0.5885112285614014,0.58203125,0.60888671875,0.5885,0.587646484375,0.58795,0.5828,0.5847,3
3,0.30000000000000004,0.5729958415031433,0.56298828125,0.56494140625,0.5778,0.563720703125,0.5738,0.5675,0.57875,3
4,0.4,0.5593670606613159,0.54638671875,0.55615234375,0.56625,0.549560546875,0.56265,0.5472,0.56105,3
5,0.5,0.5475977063179016,0.5380859375,0.53076171875,0.5456,0.533935546875,0.55015,0.5413,0.5428,3
6,0.6000000000000001,0.5176073908805847,0.509765625,0.49267578125,0.5241,0.52294921875,0.52195,0.5199,0.52255,3
7,0.7000000000000001,0.48927319049835205,0.48486328125,0.48583984375,0.503,0.50244140625,0.50465,0.4953,0.50265,3
8,0.8,0.4624413549900055,0.4619140625,0.47900390625,0.4826,0.478515625,0.485,0.4778,0.4823,3
9,0.9,0.4369390606880188,0.4365234375,0.4541015625,0.46025,0.4423828125,0.45615,0.4471,0.46165,3
10,1.0,0.4125857651233673,0.4111328125,0.431640625,0.43055,0.44189453125,0.42825,0.4315,0.4349,3
11,1.1,0.3702026307582855,0.37060546875,0.38916015625,0.3991,0.39501953125,0.3979,0.3936,0.3979,3
12,1.2000000000000002,0.3306204676628113,0.3271484375,0.380859375,0.36725,0.370361328125,0.3668,0.3682,0.3652,3
13,1.3,0.2936851680278778,0.29345703125,0.33740234375,0.33695,0.345703125,0.3334,0.3333,0.33465,3
14,1.4000000000000001,0.2592608332633972,0.255859375,0.3056640625,0.29645,0.299072265625,0.3028,0.2889,0.29935,3
15,1.5,0.22723159193992615,0.21484375,0.2666015625,0.2659,0.247802734375,0.26525,0.2574,0.26925,3
16,1.6,0.19750148057937622,0.18896484375,0.22119140625,0.2331,0.234375,0.2316,0.2266,0.2334,3
17,1.7000000000000002,0.16999302804470062,0.1611328125,0.1875,0.19865,0.197265625,0.19655,0.1968,0.20245,3
18,1.8,0.14464549720287323,0.1337890625,0.15625,0.1693,0.162353515625,0.16875,0.1686,0.1716,3
19,1.9000000000000001,0.12141232937574387,0.1103515625,0.13623046875,0.1388,0.130859375,0.13705,0.1299,0.13915,3
20,2.0,0.10025878250598907,0.09228515625,0.1083984375,0.1142,0.11083984375,0.111,0.1106,0.11125,3
21,2.1,0.08115958422422409,0.0771484375,0.076171875,0.08785,0.07958984375,0.0859,0.0836,0.08265,3
22,2.2,0.06409665197134018,0.05810546875,0.06005859375,0.06945,0.067626953125,0.06565,0.0637,0.06635,3
23,2.3000000000000003,0.04905750975012779,0.04052734375,0.0390625,0.0502,0.050048828125,0.04525,0.0447,0.04605,3
24,2.4000000000000004,0.03603358939290047,0.029296875,0.02783203125,0.03375,0.03271484375,0.0304,0.0328,0.03215,3
